sampleID,libPrepAlias,analysisAlias,TCAPbatch,SpeciesID,SamplingState,SampleSite,Collection,WNSgroup,RecapStatus,CollectionDate,InitialCaptureDate,CaptureAge,BandNum,Sex,Collector,Notes,SpeciesPfx,Location,LocationNumber,LocationOrder
KG17VT193,tcap093,LUpost-tcap093,3,MYLU,VT,Newfane,KGUNH,post,Y,8/16/17,6/1/17,A,VTDFW08415,F,Katherine Ineson,NA,LU,VT-Newfane,19,19
CP16-0406,tcap190,LUpost-tcap190,3,MYLU,NY,HailesCave,NYDEC,post,Y,8/16/2017,un/un/2015,A,71182,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
9,tcap121,SEpost-tcap121,3,MYSE,MA,Nantucket,NYDEC,post,N,8/17/2017,NA,A,18000,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
12,tcap133,SEpost-tcap133,3,MYSE,MA,Nantucket,NYDEC,post,N,8/17/2017,NA,A,17996,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
10,tcap146,SEpost-tcap146,3,MYSE,MA,Nantucket,NYDEC,post,N,8/17/2017,NA,A,17999,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
11,tcap196,SEpost-tcap196,3,MYSE,MA,Nantucket,NYDEC,post,N,8/17/2017,NA,A,17998,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
CP16-0409,tcap154,LUpost-tcap154,3,MYLU,NY,HailesCave,NYDEC,post,Y,8/23/2017,9/6/2016,A,31654,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0407,tcap167,LUpost-tcap167,3,MYLU,NY,HailesCave,NYDEC,post,Y,8/23/2017,9/1/2015,A,70981,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
NYT012017,tcap158,SEpost-tcap158,3,MYSE,NY,TompkinsCounty,NYDEC,post,N,8/25/2017,NA,J,NA,M,Sam Hoff,Juvenile male submitted to rehabber,SE,NY-TompkinsCounty,15,15
NYJ0012017,tcap144,SEpost-tcap144,3,MYSE,NY,Syracuse,NYDEC,post,NA,9/1/2017,NA,NA,NA,NA,Sam Hoff,Fall swarm trapping,SE,NY-Syracuse,14,14
NYJ0022017,tcap162,SEpost-tcap162,3,MYSE,NY,Syracuse,NYDEC,post,NA,9/1/2017,NA,NA,NA,NA,Sam Hoff,Fall swarm trapping,SE,NY-Syracuse,14,14
KG17MA882,tcap099,LUpost-tcap099,3,MYLU,MA,Princeton,KGUNH,post,Y,9/15/17,6/9/17,A,MADFW16385,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
CP16-0493,tcap002,LUpost-tcap002,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/20/2017,9/2/15,A,71250,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0490,tcap127,LUpost-tcap127,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/20/2017,9/8/15,A,71305,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0506,tcap113,LUpost-tcap113,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,9/23/2015,A,71740,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0503,tcap143,LUpost-tcap143,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,10/6/2015,A,71827,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0502,tcap174,LUpost-tcap174,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,un/un/2015,A,70116,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0504,tcap175,LUpost-tcap175,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,9/1/2015,A,70993,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0498,tcap183,LUpost-tcap183,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,9/14/2015,A,71447,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0497,tcap184,LUpost-tcap184,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,10/6/2015,A,71808,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0499,tcap189,LUpost-tcap189,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,8/26/2015,A,70927,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0501,tcap191,LUpost-tcap191,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,9/1/2015,A,71086,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0500,tcap192,LUpost-tcap192,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,8/26/2015,A,70921,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0505,tcap197,LUpost-tcap197,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,9/8/2015,A,71330,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
CP16-0507,tcap198,LUpost-tcap198,3,MYLU,NY,HailesCave,NYDEC,post,Y,9/27/2017,9/2/2015,A,71136,M,Sam Hoff,NA,LU,NY-HailesCave,11,11
